number,label
1,93
2,42
3,58
4,41
5,27
6,60
7,7
8,98
9,96
10,35
11,27
12,97
13,73
14,47
15,96
16,47
17,95
18,18
19,11
20,50
21,36
22,27
23,12
24,31
25,32
26,48
27,63
28,76
29,72
30,42
31,21
32,92
33,16
34,65
35,65
36,20
37,97
38,61
39,64
40,6
41,37
42,16
43,43
44,90
45,85
46,82
47,50
48,74
49,90
50,18
51,71
52,88
53,74
54,76
55,97
56,50
57,63
58,41
59,73
60,78
61,97
62,11
63,75
64,10
65,33
66,23
67,77
68,51
69,1
70,6
71,35
72,4
73,32
74,20
75,50
76,7
77,40
78,24
79,31
80,42
81,60
82,21
83,0
84,10
85,79
86,68
87,19
88,50
89,21
90,77
91,79
92,73
93,3
94,22
95,18
96,17
97,27
98,21
99,97
100,6
101,79
102,66
103,30
104,6
105,81
106,39
107,61
108,69
109,18
110,83
111,13
112,12
113,39
114,42
115,60
116,71
117,55
118,96
119,28
120,4
121,10
122,11
123,68
124,74
125,65
126,10
127,94
128,17
129,88
130,93
131,42
132,16
133,96
134,94
135,81
136,79
137,57
138,1
139,63
140,67
141,9
142,57
143,19
144,91
145,97
146,7
147,2
148,7
149,63
150,82
151,0
152,42
153,66
154,72
155,8
156,59
157,27
158,4
159,74
160,59
161,0
162,63
163,79
164,97
165,58
166,18
167,73
168,12
169,36
170,44
171,48
172,46
173,3
174,38
175,21
176,39
177,44
178,67
179,32
180,27
181,4
182,4
183,40
184,17
185,22
186,20
187,6
188,1
189,18
190,26
191,71
192,67
193,82
194,23
195,34
196,43
197,60
198,34
199,97
200,76
201,54
202,28
203,83
204,93
205,38
206,61
207,55
208,0
209,15
210,55
211,18
212,64
213,70
214,7
215,12
216,35
217,14
218,90
219,97
220,36
221,95
222,62
223,34
224,3
225,2
226,24
227,12
228,67
229,7
230,97
231,96
232,39
233,46
234,5
235,57
236,16
237,7
238,88
239,31
240,35
241,71
242,80
243,11
244,62
245,68
246,57
247,55
248,24
249,86
250,39
251,90
252,32
253,33
254,56
255,51
256,99
257,50
258,18
259,97
260,12
261,75
262,97
263,97
264,96
265,37
266,3
267,42
268,96
269,48
270,44
271,2
272,55
273,61
274,73
275,53
276,78
277,80
278,4
279,23
280,4
281,91
282,51
283,51
284,60
285,55
286,4
287,8
288,67
289,71
290,94
291,92
292,66
293,11
294,94
295,1
296,97
297,50
298,95
299,51
300,51
301,87
302,46
303,7
304,42
305,88
306,25
307,73
308,31
309,37
310,50
311,80
312,97
313,12
314,18
315,81
316,46
317,71
318,96
319,70
320,0
321,30
322,33
323,46
324,21
325,10
326,63
327,71
328,18
329,71
330,36
331,53
332,33
333,24
334,70
335,97
336,66
337,74
338,59
339,6
340,52
341,13
342,6
343,66
344,83
345,7
346,12
347,28
348,78
349,9
350,79
351,40
352,86
353,27
354,77
355,51
356,31
357,60
358,42
359,90
360,24
361,37
362,42
363,90
364,83
365,83
366,19
367,79
368,34
369,50
370,67
371,30
372,42
373,70
374,63
375,9
376,10
377,83
378,0
379,45
380,4
381,85
382,97
383,97
384,33
385,67
386,90
387,79
388,87
389,97
390,67
391,90
392,85
393,21
394,92
395,95
396,4
397,49
398,78
399,89
400,27
401,35
402,42
403,22
404,0
405,66
406,4
407,79
408,55
409,37
410,56
411,10
412,27
413,73
414,96
415,97
416,39
417,24
418,16
419,28
420,1
421,96
422,56
423,95
424,97
425,78
426,82
427,79
428,4
429,51
430,37
431,48
432,17
433,58
434,15
435,87
436,85
437,18
438,27
439,72
440,78
441,4
442,81
443,75
444,99
445,8
446,16
447,29
448,69
449,62
450,59
451,73
452,78
453,7
454,21
455,23
456,16
457,56
458,90
459,59
460,79
461,33
462,22
463,73
464,63
465,77
466,37
467,60
468,18
469,12
470,58
471,38
472,97
473,92
474,65
475,80
476,85
477,38
478,74
479,75
480,14
481,28
482,38
483,35
484,97
485,11
486,12
487,4
488,97
489,18
490,4
491,60
492,44
493,94
494,18
495,0
496,40
497,98
498,93
499,10
500,83
501,12
502,37
503,82
504,79
505,35
506,70
507,48
508,31
509,31
510,10
511,3
512,51
513,65
514,71
515,16
516,52
517,81
518,62
519,46
520,95
521,33
522,51
523,85
524,38
525,96
526,14
527,29
528,32
529,38
530,94
531,55
532,5
533,24
534,80
535,27
536,55
537,41
538,55
539,18
540,18
541,96
542,12
543,84
544,30
545,36
546,4
547,4
548,96
549,95
550,97
551,29
552,63
553,74
554,60
555,12
556,44
557,39
558,79
559,86
560,1
561,27
562,18
563,17
564,97
565,71
566,45
567,60
568,17
569,96
570,92
571,63
572,90
573,48
574,12
575,48
576,15
577,58
578,27
579,58
580,23
581,10
582,24
583,66
584,14
585,65
586,14
587,35
588,63
589,51
590,71
591,58
592,5
593,78
594,23
595,74
596,50
597,18
598,78
599,3
600,33
601,22
602,95
603,16
604,27
605,8
606,63
607,76
608,6
609,79
610,18
611,54
612,37
613,20
614,93
615,15
616,63
617,71
618,4
619,50
620,19
621,36
622,96
623,18
624,96
625,92
626,90
627,34
628,5
629,38
630,69
631,11
632,12
633,93
634,63
635,70
636,4
637,0
638,18
639,45
640,18
641,97
642,44
643,12
644,64
645,91
646,6
647,6
648,2
649,7
650,80
651,91
652,83
653,65
654,7
655,55
656,40
657,69
658,18
659,73
660,31
661,17
662,89
663,74
664,84
665,97
666,71
667,59
668,97
669,41
670,18
671,90
672,23
673,17
674,82
675,58
676,27
677,49
678,51
679,9
680,75
681,7
682,6
683,42
684,7
685,32
686,79
687,73
688,27
689,77
690,85
691,50
692,81
693,56
694,69
695,47
696,36
697,72
698,54
699,33
700,32
701,84
702,17
703,29
704,80
705,26
706,28
707,15
708,90
709,68
710,28
711,31
712,74
713,58
714,18
715,1
716,74
717,94
718,36
719,51
720,63
721,81
722,7
723,48
724,81
725,78
726,27
727,19
728,23
729,42
730,66
731,89
732,38
733,27
734,38
735,10
736,21
737,15
738,35
739,10
740,96
741,70
742,3
743,33
744,26
745,83
746,90
747,97
748,18
749,99
750,57
751,20
752,51
753,12
754,41
755,66
756,50
757,50
758,39
759,78
760,32
761,79
762,90
763,5
764,36
765,36
766,87
767,59
768,47
769,59
770,52
771,80
772,91
773,21
774,8
775,60
776,18
777,33
778,67
779,0
780,55
781,59
782,17
783,64
784,29
785,78
786,1
787,54
788,24
789,29
790,76
791,55
792,96
793,48
794,66
795,61
796,3
797,96
798,90
799,1
800,21
801,73
802,27
803,68
804,30
805,93
806,30
807,50
808,59
809,23
810,93
811,35
812,90
813,74
814,29
815,52
816,95
817,21
818,9
819,4
820,21
821,44
822,46
823,22
824,37
825,89
826,84
827,37
828,90
829,11
830,23
831,31
832,90
833,39
834,61
835,51
836,78
837,52
838,27
839,27
840,9
841,86
842,6
843,45
844,42
845,45
846,50
847,96
848,97
849,12
850,91
851,15
852,90
853,32
854,43
855,70
856,18
857,49
858,39
859,38
860,2
861,0
862,55
863,98
864,55
865,48
866,82
867,82
868,42
869,84
870,76
871,51
872,20
873,38
874,36
875,55
876,71
877,18
878,71
879,42
880,4
881,7
882,35
883,77
884,70
885,94
886,48
887,36
888,96
889,47
890,36
891,23
892,67
893,8
894,66
895,7
896,74
897,67
898,81
899,12
900,96
901,36
902,77
903,55
904,74
905,52
906,81
907,21
908,37
909,40
910,76
911,3
912,91
913,17
914,88
915,65
916,67
917,81
918,18
919,35
920,73
921,4
922,35
923,81
924,79
925,51
926,30
927,90
928,96
929,9
930,0
931,68
932,81
933,97
934,3
935,58
936,55
937,1
938,27
939,97
940,94
941,25
942,22
943,60
944,38
945,63
946,13
947,97
948,44
949,35
950,61
951,26
952,90
953,14
954,20
955,18
956,87
957,48
958,0
959,30
960,96
961,90
962,27
963,85
964,3
965,66
966,69
967,75
968,60
969,79
970,7
971,76
972,33
973,56
974,16
975,72
976,71
977,25
978,92
979,72
980,66
981,4
982,94
983,46
984,27
985,24
986,8
987,12
988,18
989,4
990,10
991,94
992,3
993,72
994,70
995,7
996,8
997,88
998,26
999,34
1000,95
1001,6
1002,73
1003,36
1004,89
1005,21
1006,87
1007,74
1008,20
1009,82
1010,25
1011,71
1012,85
1013,74
1014,60
1015,61
1016,11
1017,60
1018,71
1019,33
1020,45
1021,38
1022,91
1023,6
1024,19
1025,64
1026,39
1027,60
1028,5
1029,33
1030,96
1031,60
1032,41
1033,39
1034,96
1035,31
1036,42
1037,99
1038,8
1039,63
1040,79
1041,35
1042,6
1043,35
1044,55
1045,73
1046,45
1047,8
1048,86
1049,66
1050,33
1051,80
1052,1
1053,58
1054,35
1055,25
1056,58
1057,76
1058,36
1059,82
1060,8
1061,7
1062,4
1063,70
1064,98
1065,90
1066,37
1067,71
1068,68
1069,55
1070,6
1071,36
1072,4
1073,96
1074,71
1075,31
1076,27
1077,8
1078,90
1079,60
1080,56
1081,38
1082,90
1083,18
1084,94
1085,5
1086,12
1087,97
1088,7
1089,21
1090,85
1091,3
1092,77
1093,11
1094,41
1095,79
1096,68
1097,92
1098,27
1099,10
1100,18
1101,57
1102,4
1103,97
1104,8
1105,27
1106,74
1107,40
1108,97
1109,43
1110,56
1111,94
1112,63
1113,61
1114,60
1115,27
1116,38
1117,77
1118,16
1119,94
1120,93
1121,61
1122,69
1123,71
1124,26
1125,96
1126,27
1127,83
1128,77
1129,90
1130,96
1131,77
1132,46
1133,29
1134,31
1135,59
1136,76
1137,13
1138,54
1139,27
1140,87
1141,13
1142,37
1143,41
1144,9
1145,85
1146,29
1147,67
1148,0
1149,16
1150,41
1151,56
1152,59
1153,59
1154,10
1155,27
1156,86
1157,65
1158,96
1159,38
1160,8
1161,25
1162,97
1163,97
1164,27
1165,90
1166,41
1167,52
1168,66
1169,87
1170,4
1171,43
1172,50
1173,79
1174,96
1175,21
1176,29
1177,79
1178,48
1179,6
1180,53
1181,38
1182,45
1183,10
1184,43
1185,6
1186,94
1187,10
1188,5
1189,5
1190,82
1191,85
1192,86
1193,40
1194,29
1195,17
1196,4
1197,96
1198,3
1199,7
1200,68
1201,36
1202,18
1203,55
1204,97
1205,23
1206,26
1207,40
1208,62
1209,37
1210,43
1211,53
1212,20
1213,79
1214,38
1215,37
1216,32
1217,44
1218,96
1219,4
1220,27
1221,71
1222,21
1223,78
1224,18
1225,12
1226,40
1227,69
1228,77
1229,71
1230,25
1231,51
1232,77
1233,28
1234,21
1235,17
1236,79
1237,25
1238,97
1239,71
1240,73
1241,90
1242,35
1243,48
1244,20
1245,50
1246,96
1247,97
1248,36
1249,43
1250,85
1251,33
1252,96
1253,71
1254,12
1255,35
1256,99
1257,85
